starname,,gaiasource,splitra,splitdec,,direction
J01230055-1257298SE,south and east and bright,'2456361654226797440',20.75457242,-12.95850909,,south and east and bright
J01230055-1257298NW,,'2456361654225919488',20.75436755,-12.95818838,,
J07575485-6017584E,south and east and bright,'5291028284195365632',119.4832032,-60.29903227,9.202524,south and east and bright
J07575485-6017584W,,'5291028284195365248',119.4819383,-60.29876266,11.61667,
J17195815-0553043E,east and a little north and faint,'4361366292101060096',259.9927417,-5.88532217,,
J17195815-0553043W,west and bright,'4361366292103812480',259.9924399,-5.885472147,,
J07212226-2820348E,east a little south and very faint,'5606673093009210624',110.3437979,-28.34325214,,5600K
J07212226-2820348W,west a little north and bright,'5606673093014025728',110.3428037,-28.34303121,,note plxs do not match
J08103429-1348514,no 2mass match,'5725122965270676864',,,,
J14294291-6240465,no 2mass match,'5853498713160606720',,,,
J04152173-0739173,no 2mass match,'3195919322830293760',,,,
J06292339-0248499,no 2mass match,'3117120863523946368',,,,
J06304661-7643094,Gaia has 2 identical sources,'5260451999698559872',,,,
J14115998-4132211,no 2mass match,'6109949904687424640',,,,
J00152799-1608008,no 2mass match,'2368293487260807040',,,,
J05285650+1231539,no 2mass match,'3340965419296002944',,,,
J01565369+0332014,no 2mass match need 10 as,'2512629230496996992',,,,
J03432204-0933512,no 2mass match,'5164137461165628032',,,,
J01123052-1659570,no 2mass match,'2358524597030794112',,,,
J02451431-4344102,no 2mass match had to search target individually but 5as worked,'4947513192089475584',,,,
J03015107-1635306,no 2mass match,'5153091836072107008',,,,
J04112712-4418097,no 2mass match,'4838609039260040704',,,,
J01474254-4836055,no 2mass match,'4941699593078093952',,,,
J03093867+0605589,no 2mass match,'4288649399672832',,,,
J18094366-0219347,no 2mass match,'4177855052651068928',,,,
J20404449+1954023,no 2mass match,'1814240507054682880',,,,
J20553771-1402078,no 2mass match,'6887029163498137856',,,,
J21311859-0947263,no 2mass match,'6894054664842632448',,,,
J14563857-5059174,no 2mass match,'5901094750438455296',,,,
J19445376-2337591,no 2mass match,'6768500534421789440',,,,
J07285137-3014490,no 2mass match,'5605469398353836544',,,,
J10424135-2416050,no 2mass match,'5471345889049823744',,,,
J08380224-5855583,no 2mass match,'5302788969813884160',,,,
J10580575+0633476,no 2mass match,'3864686545890130432',,,,